feature,cluster,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency,survey
ur food,3,0.031121096,0.024326796,0.115433325,31,1
take money,3,0,0.023658385,0,1,1
uber eats,2,0.038688037,0.057791533,0.081474643,109,2
be able,2,0.008966492,0.125962023,0,8,3
full amount,2,0,0.106890796,0,7,1
wrong address,3,0.125634582,0.00800446,0,10,1
provide refund,3,0.050782065,0,0,1,3
delivery time,3,0.051294761,0.013660582,0.114992307,6,1
delivery time,3,0.051181188,0.013630336,0.114737701,6,1
available item,2,0,0.06543071,0,1,1
want full,2,0,0.078109306,0,1,2
much money,2,0,0.182853483,0,1,1
first thing,2,0.009350715,0.066046189,0,5,1
lunch hour,3,0.092411635,0,0.162774766,2,2
re order,3,0.018914892,0.015315297,0.143518854,9,1
phone call,3,0.10971834,0,0,2,3
anyone use,0,0.232911872,0,0,1,3
customer service,3,0.063928808,0.025096698,0.096974073,115,2
local restaurant,2,0,0.078932004,0,2,2
same price,3,0.011226471,0.017506705,0,3,1
phone call,3,0.107411686,0,0,2,3
credit card,3,0.016283875,0.025430964,0.097940514,16,2
customer service,3,0.06276622,0.024640298,0.095210535,115,3
timely manner,2,0.004493695,0.074162458,0.051712894,6,1
be ready,2,0,0.158362035,0,2,2
ur food,3,0.026721491,0.020887705,0.099114459,31,3
ur food,3,0.026571166,0.020770199,0.098556879,31,3
exact same,3,0,0.022092455,0,3,3
uber eats,2,0.032929052,0.049188859,0.069346573,109,3
other apps,3,0.026382348,0.003334835,0,5,3
many time,2,0,0.151446747,0,7,3
suspicious activity,3,0.119441807,0,0,2,3
missing item,3,0.050921014,0.004654506,0.014982984,20,2
delivery person,3,0.072291961,0.020824295,0.049519468,6,2
do anything,3,0.033797406,0.026917513,0.098603599,18,2
be convenient,3,0.035754259,0,0.146948444,2,3
free grubhub,2,0.026620363,0.07748933,0,2,1
first time,2,0.001051605,0.06388806,0,16,2
be convenient,3,0.035356083,0,0.145311961,2,3
delivery person,3,0.070373664,0.020271714,0.048205448,6,2
wrong address,3,0.102932459,0.006558057,0,10,2
go get,3,0,0.007647374,0.190396538,3,3
full amount,2,0,0.086597389,0,7,2
different place,3,0.012039525,0,0.213152897,4,1
dash pas,3,0.031899167,0.037876099,0.049937499,17,1
pick food,3,0.103059067,0,0,1,3
delivery fee,3,0.0061035,0.016508275,0.110177772,23,3
uber eats,2,0.03052989,0.045605032,0.064294085,109,2
contact support,3,0.009155995,0.039218749,0.123858892,9,2
extra money,2,0.030912992,0.055447042,0,2,1
delivery service,2,0.043116585,0.061977021,0,9,2
whole thing,2,0,0.067484037,0,1,2
customer service,3,0.055277406,0.021700395,0.083850698,115,2
same message,3,0.033516166,0,0,1,3
be nice,2,0,0.160774459,0,6,2
be able,2,0.006868474,0.096488897,0,8,2
same thing,3,0.005135103,0.035874701,0.135072304,4,1
contact support,3,0.008860947,0.037954941,0.119867591,9,1
big deal,3,0.028695042,0,0.089571168,3,2
multiple time,3,0.026347198,0.007292978,0.073223694,11,2
ad be,3,0.013022387,0,0.214085768,5,1
great app,3,0.021689414,0,0,1,3
be deliver,3,0.00613338,0.027677883,0.1064276,10,1
dash pas,3,0.029822999,0.03541092,0.046687299,17,2
most restaurant,2,0,0.125319065,0,1,2
get further,3,0.03610886,0,0,1,2
more dollar,2,0,0.067721229,0,1,3
be super,2,0,0.085578109,0,1,2
full amount,2,0,0.07806868,0,7,2
wrong order,3,0.092333286,0,0,2,2
say help,2,0,0.084194429,0.126800618,2,3
customer service,3,0.050751871,0.019923794,0.076985882,115,2
hour wait,3,0.005763977,0.029362176,0.063172521,4,2
order something,2,0,0.078243288,0,3,1
customer service,3,0.050417102,0.019792373,0.076478068,115,2
delivery guy,3,0.045807834,0,0.125512133,2,1
long time,3,0.030982161,0.024949025,0,3,2
same thing,3,0.004732617,0.033062868,0.124485437,4,2
be available,2,0,0.049417234,0,1,2
credit towards,3,0.015648067,0.021710759,0,2,1
pay more,3,0,0.032146017,0,1,1
missing item,3,0.041005283,0.003748145,0.012065382,20,3
only thing,3,0.012214482,0.0191625,0.040160791,6,2
store close,3,0.010977943,0,0.120316981,2,2
do anything,3,0.027439786,0.021854068,0.080055306,18,2
company do,3,0.029032086,0.023391056,0.079547071,3,3
second time,3,0.014512865,0,0.159059314,6,2
wrong address,3,0.084406883,0.005377751,0,10,2
take advantage,2,0.011151439,0.078253647,0.11785353,4,3
real person,3,0,0.039020728,0,4,2
uber eats,3,0.025605531,0.038249107,0.053923684,109,3
service fee,3,0.010060234,0.049937571,0,3,2
customer service,3,0.04714107,0.018506293,0.071508632,115,3
someone el,3,0.008701896,0.035105402,0.023434797,10,2
old order,3,0.068553599,0,0,1,1
first time,2,0.000837872,0.050903161,0,16,1
first thing,3,0.006539372,0.04618905,0,5,3
treat customer,2,0.022389663,0.051005868,0.076817144,3,1
total waste,3,0,0.015002464,0,1,3
delivery apps,3,0.012690066,0.041452071,0.037931358,6,1
many other,2,0,0.076393295,0,4,3
correct address,3,0.003855528,0.004133497,0.113186074,4,1
house number,3,0,0.018777843,0,2,1
specialized team,3,0.004579237,0,0.150563705,3,3
save money,3,0,0.030582975,0.056399195,4,3
customer service,3,0.045237171,0.017758874,0.068620594,115,3
menu item,3,0.00304609,0.024938093,0.07511579,3,2
support person,3,0.017969034,0.036777754,0,2,3
uber member,2,0,0.146482938,0,1,1
take day,3,0.022573345,0,0,1,1
uber eats,3,0.023955941,0.035784978,0.050449749,109,1
grub hub,3,0.015815362,0.015805918,0.10321703,17,2
uber eats,3,0.023804331,0.035558506,0.050130468,109,1
waste time,3,0,0.043421144,0,1,2
uber cash,3,0.006838883,0.011077468,0.087042612,5,2
same restaurant,3,0.022030972,0,0,1,3
be perfect,2,0,0.288398822,0,1,1
pay extra,3,0.059105822,0,0,2,3
customer service,3,0.04329368,0.016995913,0.065672498,115,2
driver pick,2,0.021686583,0.056814811,0,2,1
be fan,2,0,0.113391339,0,1,2
multiple time,3,0.020825348,0.005764514,0.057877461,11,3
several time,2,0,0.126368151,0,1,2
debit card,3,0.038179108,0.009760934,0,8,1
few minute,3,0.028815595,0.00199713,0,4,2
customer service,3,0.042123965,0.016536715,0.063898148,115,1
same thing,3,0.003990847,0.02788074,0.104974138,4,3
be careful,3,0.025048953,0,0,3,2
bad experience,3,0.06356334,0.01850268,0,3,3
hour late,3,0.025678424,0.000228403,0.077396507,8,3
deliver wrong,3,0.125148416,0,0,1,1
multiple time,3,0.020018642,0.005541216,0.055635478,11,3
customer service,3,0.040873966,0.016045999,0.062002016,115,2
full price,2,0,0.07498526,0,1,3
uber eats,3,0.022060175,0.032953115,0.046457382,109,3
delivery time,3,0.030113933,0.008019802,0.067509247,6,3
uber eats,3,0.021872125,0.032672208,0.046061359,109,2
door dash,3,0.005788571,0.04430919,0.035711668,28,1
whole process,2,0,0.079604871,0,1,1
customer service,3,0.040073042,0.015731578,0.060787088,115,3
be closed,3,0.018192763,0.003971804,0,4,2
many people,2,0,0.082288067,0,2,1
ur food,3,0.017290549,0.013515708,0.064133524,31,3
only problem,3,0,0.026936157,0.098944075,2,1
customer service,3,0.039591393,0.015542496,0.060056472,115,2
other person,3,0.010473596,0,0.098390908,2,1
min try,2,0,0.156559628,0,1,3
first place,3,0.007419244,0.043193418,0,4,2
next order,3,0.011862176,0.009495656,0.078004843,5,1
driver drop,2,0,0.064623117,0.097325337,2,1
do anything,3,0.022207683,0.017687026,0.064790696,18,3
uber eats,3,0.021119495,0.031547944,0.044476368,109,3
uber eats,3,0.021112834,0.031537993,0.044462339,109,1
correct order,3,0,0.032113002,0.096727267,2,2
burger king,3,0.07841551,0,0,1,1
free grubhub,2,0.017642489,0.051355597,0,2,1
contact support,3,0.006345303,0.027179445,0.085836902,9,1
follow simple,3,0,0.013105142,0,3,3
many other,2,0,0.064746042,0,4,1
ice cold,3,0.116006386,0,0,3,1
customer experience,3,0.054266819,0.025301256,0,3,2
uber eats,3,0.020737995,0.030978064,0.043672951,109,3
new driver,3,0.016951758,0.014675867,0,3,1
most people,3,0,0.023033522,0.094607798,2,1
have deal,2,0,0.125537826,0,1,1
many thing,2,0,0.125152153,0,1,2
do anything,3,0.021488862,0.01711453,0.062693545,18,1
delivery fee,3,0.004069555,0.011007019,0.073461877,23,2
food delivery,3,0.092246067,0.011678521,0,3,3
credit card,3,0.009743734,0.01521705,0.058604372,16,2
do anything,3,0.021422484,0.017061664,0.062499886,18,1
ur food,3,0.016185249,0.012651716,0.060033783,31,1
credit card,3,0.009599413,0.01499166,0.057736343,16,1
whole order,2,0,0.048987665,0,1,1
good experience,2,0,0.077559259,0,2,3
have multiple,3,0.01679012,0,0.092008884,2,2
deliver food,3,0,0.02624104,0.061192556,3,3
uber eats,3,0.019780636,0.029547978,0.041656811,109,2
be closed,3,0.016537748,0.003610485,0,4,2
awful experience,3,0.042807932,0,0,1,3
deliver food,3,0,0.025859117,0.060301935,3,2
order status,3,0.009625059,0,0.090419592,2,1
customer service,3,0.036250158,0.014230819,0.054988127,115,3
few minute,3,0.024681711,0.001710621,0,4,1
delivery fee,3,0.003906577,0.010566209,0.070519866,23,3
first order,3,0.01523024,0.043117984,0,5,3
be able,2,0.004529219,0.063626849,0,8,1
few time,3,0.016902003,0.020426833,0,3,2
hour late,3,0.022132728,0.000196865,0.06670954,8,1
email say,3,0.032977066,0,0,1,1
uber eats,3,0.019318663,0.028857891,0.040683925,109,1
good deal,2,0,0.089140544,0,1,3
uber eats,3,0.019243064,0.028744963,0.040524719,109,3
long time,3,0.021832477,0.017581053,0,3,1
do anything,3,0.020093912,0.01600354,0.05862379,18,2
online delivery,2,0,0.135850522,0,1,1
many issue,3,0,0.044567725,0,3,1
business day,3,0.019754373,0.027499299,0.079209375,11,2
ur food,3,0.015135895,0.011831455,0.056141554,31,2
customer service,3,0.034888726,0.013696358,0.052922963,115,3
delivery fee,3,0.003769412,0.010195213,0.068043809,23,2
first time,3,0.000627728,0.038136267,0,16,1
delivery fee,3,0.003755802,0.010158404,0.067798143,23,3
new driver,3,0.015436141,0.013363732,0,3,1
customer service,3,0.034726197,0.013632553,0.05267642,115,1
uber eat,3,0,0.020684206,0,1,1
door dash,3,0.004996767,0.038248253,0.030826763,28,2
issue refund,3,0,0.022916342,0,1,3
wrong address,3,0.061335335,0.003907811,0,10,3
many review,2,0,0.063945999,0,2,2
credit card,3,0.008887725,0.013880198,0.053455845,16,1
uber eats,3,0.018596628,0.027779327,0.039163363,109,2
lunch break,3,0,0.009439877,0.113735059,3,2
provide proof,3,0,0.002020771,0.085214414,2,3
base price,3,0.165647433,0,0,1,3
first time,3,0.00061418,0.03731323,0,16,1
be able,2,0.004309531,0.060540648,0,8,2
make more,2,0,0.056107373,0,1,1
do anything,3,0.019263818,0.015342422,0.056202,18,1
wrong house,3,0.102279167,0,0,3,1
delivery driver,3,0.008472982,0.039350354,0.060782987,11,3
service fee,3,0.00714427,0.035463139,0,3,2
parking lot,3,0.006755086,0.013518594,0.055526221,3,3
first order,3,0.014104645,0.039931338,0,5,3
home page,3,0.036163849,0,0,2,3
be aware,3,0,0.041099932,0,2,2
be deliver,3,0.003803732,0.017164961,0.066003083,10,2
wrong address,3,0.058768867,0.003744296,0,10,3
loyal customer,3,0.006307389,0.036916207,0,8,1
use grubhub,3,0.065816484,0,0,2,2
ur food,3,0.014281359,0.011163479,0.052971938,31,3
delivery window,3,0.014966942,0.010891834,0,2,2
delivery time,3,0.02422951,0.00645269,0.05431758,6,3
taco bell,3,0.015875574,0.010201417,0,3,2
estimated delivery,3,0.010839185,0.033703091,0.032398965,5,1
charge more,2,0,0.067132299,0,1,1
dash pas,3,0.018198249,0.021608047,0.02848899,17,1
ad be,3,0.007854089,0,0.12911985,5,3
customer service,3,0.032142672,0.012618332,0.048757452,115,3
delivery fee,3,0.003472725,0.009392759,0.062688153,23,2
house number,3,0,0.013296667,0,2,3
escalation team,3,0.017279208,0.017682933,0.053262593,3,3
couple year,3,0.001619879,0,0,1,2
treat customer,3,0.015523842,0.03536485,0.053261063,3,2
customer service,3,0.032051701,0.01258262,0.048619457,115,1
delivery people,2,0,0.072603162,0,1,3
hot food,3,0.006657669,0,0,1,1
countless time,3,0,0.00173926,0.104776148,3,3
have issue,3,0,0.0207723,0,1,2
full amount,2,0,0.047126858,0,7,1
customer service,3,0.031169501,0.012236292,0.047281242,115,1
delivery service,3,0.024117208,0.034666769,0,9,1
uber cash,3,0.004880916,0.007905998,0.062122384,5,3
make sure,2,0,0.070466827,0,7,2
take people,3,0,0.020529015,0,1,1
someone el,3,0.005739497,0.023154418,0.015456854,10,1
customer service,3,0.031012179,0.012174532,0.0470426,115,1
bottom line,3,0.070511425,0.022235634,0,2,3
grub hub,3,0.01114454,0.011137886,0.072733482,17,3
be able,2,0.003908617,0.054908575,0,8,1
uber eats,3,0.016746013,0.02501491,0.035266081,109,2
get food,3,0.02887799,0.018718405,0.025563414,6,2
do anything,3,0.01745805,0.013904242,0.05093369,18,1
dasher do,3,0,0.006697646,0.07565218,2,1
girlfriend be,3,0,0.032451082,0,1,1
get ready,2,0,0.049992316,0,1,1
grub hub,3,0.010851531,0.010845052,0.070821196,17,1
be rip,3,0.182742984,0,0,1,3
dash pas,3,0.016911487,0.020080184,0.026474589,17,2
someone el,3,0.005570698,0.022473445,0.015002267,10,2
double check,3,0,0.016892532,0.07496288,6,3
few dollar,3,0.013663244,0,0,1,2
last night,3,0.016884379,0.000877657,0.089220937,5,3
uber eats,3,0.016178666,0.024167417,0.034071283,109,3
door dash,3,0.004299393,0.032910133,0.026524423,28,3
someone el,3,0.005502548,0.022198515,0.014818736,10,1
uber eats,3,0.016122121,0.024082951,0.033952203,109,3
other apps,3,0.012935558,0.001635107,0,5,3
last time,3,0.017375804,0.000817553,0.049250894,6,3
fast food,3,0,0.039115448,0,1,2
last straw,3,0.004456412,0,0.07326263,2,1
next day,3,0.008727139,0.012972188,0.048841753,3,2
small percentage,3,0.013350271,0.011496486,0,2,3
do anything,3,0.016699398,0.013300023,0.04872033,18,2
tip include,3,0,0.014046777,0,1,1
pay extra,3,0.039803362,0,0,2,2
customer service,3,0.029175012,0.011453311,0.044255788,115,3
delivery fee,3,0.003152096,0.008525547,0.056900299,23,3
missing item,3,0.024633856,0.002251692,0.007248258,20,3
multiple occasion,3,0.01084021,0.000775303,0.04816518,3,3
gift card,3,0.012147007,0.008108763,0.072240969,14,3
uber eats,3,0.015692069,0.023440546,0.033046539,109,2
shake shack,3,0.01168568,0.012755961,0.048027636,3,2
loyal customer,3,0.005500323,0.032192569,0,8,1
live person,3,0.018293952,0,0,2,3
multiple time,3,0.014066247,0.003893576,0.039092681,11,1
feel bad,3,0.017380515,0,0,1,1
good customer,2,0,0.132208489,0,1,1
next day,3,0.008463434,0.01258021,0.047365914,3,1
ur food,3,0.012307816,0.009620797,0.045651738,31,3
customer service,3,0.028391176,0.011145598,0.043066781,115,1
food delivery,3,0.069444592,0.008791812,0,3,1
customer service,3,0.028320116,0.011117702,0.042958989,115,1
extra hour,2,0,0.046860236,0,1,3
customer service,3,0.02822987,0.011082273,0.042822094,115,2
true cost,3,0.010408752,0.033259907,0,3,3
uber eats,3,0.015230644,0.022751277,0.032074806,109,2
lunch hour,3,0.039652098,0,0.069843598,2,3
last straw,3,0.004239664,0,0.06969933,2,1
extra fee,3,0,0.022539047,0.046427326,6,3
real human,3,0,0.028773424,0,3,3
estimated delivery,3,0.00923166,0.028704694,0.027593979,5,1
uber eats,3,0.015026301,0.022446033,0.031644471,109,3
whole point,3,0,0.030971473,0,2,1
ur food,3,0.011994162,0.009375619,0.044488343,31,3
dash pas,3,0.015546507,0.018459448,0.02433774,17,2
time frame,3,0.044017516,0,0,1,1
customer service,3,0.027654784,0.01085651,0.041949742,115,1
own risk,3,0.010014467,0.015253511,0,2,3
big deal,3,0.014715582,0,0.045934481,3,1
double check,3,0,0.015523275,0.068886617,6,1
do anything,3,0.015726968,0.012525543,0.045883274,18,3
correct address,3,0.00234378,0.002512758,0.068805944,4,1
first time,3,0.000496405,0.030158063,0,16,1
first time,3,0.000495974,0.030131835,0,16,3
full amount,3,0,0.0415849,0,7,2
uber eats,3,0.014901976,0.022260319,0.031382652,109,3
hour wait,3,0.003117605,0.015881339,0.034168592,4,2
double dash,3,0,0.045337596,0,1,3
other delivery,3,0.019512941,0.016994771,0,2,1
uber eats,3,0.014855622,0.022191076,0.031285033,109,1
grub hub,3,0.009817952,0.00981209,0.064075669,17,1
uber eats,3,0.014805207,0.022115766,0.031178861,109,3
grubhub guarantee,3,0.024806802,0,0.067969918,2,1
ice cold,3,0.082358538,0,0,3,1
uber eats,3,0.014732734,0.022007507,0.031026237,109,1
love doordash,2,0,0.089765376,0,1,2
love grubhub,3,0,0.028604835,0,1,1
loyal customer,3,0.0051505,0.030145108,0,8,2
bank account,3,0.007091882,0.034737146,0,3,3
one accept,3,0.004071561,0.008888944,0,2,1
delivery address,3,0,0.035000218,0,2,3
next order,3,0.008141666,0.006517393,0.053539027,5,1
driver pick,3,0.013558404,0.035520495,0,2,1
do anything,3,0.015278913,0.012168695,0.044576077,18,1
uber eats,3,0.014556327,0.021743995,0.030654737,109,2
missing item,3,0.022686486,0.00207369,0.006675265,20,1
be deliver,3,0.003077444,0.01388747,0.053400403,10,3
customer service,3,0.02676641,0.010507759,0.040602162,115,2
missing item,3,0.02262094,0.002067698,0.006655978,20,2
priority delivery,3,0.022222611,0.008821076,0.033212349,4,2
uber eats,3,0.014465714,0.021608638,0.030463911,109,2
be deliver,3,0.003060355,0.013810353,0.05310387,10,2
delivery instruction,3,0.026918306,0.003917831,0.044253225,3,1
have wait,3,0,0.017611497,0,1,3
promo code,3,0,0.025701529,0.044092679,3,1
significant amount,2,0,0.065854264,0,1,3
customer service,3,0.026471305,0.010391909,0.040154515,115,2
wrong place,3,0.008025405,0,0,1,1
uber eats,3,0.014351711,0.021438343,0.030223827,109,2
first time,3,0.000475275,0.028874345,0,16,1
customer service,3,0.026402794,0.010365014,0.04005059,115,3
make sure,2,0,0.05984185,0,7,3
uber eats,3,0.014330876,0.021407219,0.03017995,109,3
parking lot,3,0.005325707,0.010658053,0.043776846,3,2
local restaurant,3,0,0.032691544,0,2,3
uber eats,3,0.014274175,0.02132252,0.030060541,109,3
quality control,3,0.011958517,0,0.065531979,2,2
many time,2,0,0.065627327,0,7,3
customer service,3,0.026136807,0.010260594,0.039647112,115,3
take advantage,3,0.006155404,0.043194675,0.065053134,4,1
uber eats,3,0.014165822,0.021160665,0.029832357,109,1
customer service,3,0.026081053,0.010238707,0.039562538,115,3
door dash,3,0.003746654,0.02867914,0.02311439,28,3
wasted time,3,0.002505236,0.01002719,0,2,1
other day,3,0.006560572,0,0,1,2
save money,3,0,0.017512725,0.032295865,4,3
menu item,3,0.001744134,0.014279086,0.043009898,3,1
wasted time,3,0.002496302,0.009991434,0,2,1
job do,3,0,0.034212941,0,1,1
actual price,2,0,0.056969382,0,1,2
door dash,3,0.003725152,0.028514544,0.022981732,28,3
customer service,3,0.025800744,0.010128665,0.039137335,115,2
grubhub decide,3,0,0.006098949,0,1,3
uber eats,3,0.014005183,0.020920704,0.02949406,109,1
uber eats,3,0.013983939,0.020888971,0.029449322,109,2
estimated delivery,3,0.008590928,0.026712417,0.025678792,5,2
delivery fee,3,0.002783199,0.007527781,0.050241116,23,2
shake shack,3,0.010394864,0.011346921,0.042722439,3,1
customer service,3,0.025685401,0.010083385,0.038962371,115,1
do anything,3,0.014626638,0.011649199,0.042673073,18,1
do anything,3,0.014623704,0.011646862,0.042664511,18,3
timely manner,3,0.001853709,0.030592999,0.021332256,6,3
real human,3,0,0.026558286,0,3,3
customer service,3,0.025529166,0.010022051,0.038725378,115,3
ur food,3,0.011065337,0.008649573,0.041043177,31,1
customer service,3,0.025499287,0.010010321,0.038680053,115,1
customer service,3,0.025497133,0.010009476,0.038676786,115,2
be deliver,3,0.002921585,0.013184128,0.050695898,10,1
only reason,3,0,0.016035159,0.036192197,7,3
customer service,3,0.025400554,0.009971562,0.038530285,115,3
be lazy,3,0.038489284,0,0,1,3
loyal customer,3,0.004820844,0.028215683,0,8,2
door dash,3,0.003644382,0.027896287,0.022483438,28,3
delivery person,3,0.030595432,0.008813266,0.020957649,6,1
use uber,3,0,0.03334857,0,1,3
cold food,3,0.065625254,0,0,2,3
few minute,3,0.01716907,0.001189941,0,4,3
missing item,3,0.021311724,0.001948028,0.006270755,20,2
ur food,3,0.010885547,0.008509035,0.040376307,31,2
customer service,3,0.025089971,0.009849635,0.038059158,115,1
delivery person,3,0.030403427,0.008757958,0.020826127,6,3
gift card,3,0.010504248,0.007012136,0.062471115,14,3
door dash,3,0.00361645,0.027682474,0.022311112,28,3
find other,3,0.018918394,0,0,1,2
business practice,3,0,0.041299996,0,1,2
be fair,3,0.012611582,0.037169996,0,2,1
bad experience,3,0.037786522,0.010999295,0,3,2
debit card,3,0.022433341,0.005735345,0,8,3
contact support,3,0.004063438,0.017405313,0.054968678,9,3
business model,3,0.018777622,0,0.061740167,2,1
different location,3,0.003125638,0,0.061661927,2,1
take advantage,3,0.005831346,0.040920645,0.061628342,4,2
ur food,3,0.010719449,0.008379199,0.039760221,31,2
customer service,3,0.02472986,0.009708265,0.037512904,115,2
uber eats,3,0.013423262,0.020051441,0.02826857,109,1
customer service,3,0.024728713,0.009707815,0.037511164,115,3
gift card,3,0.010362059,0.006917217,0.061625483,14,3
